Session,Date,Day,Topic,Details,Reads,In class Practice,Quiz,Slides,Assignment,Release Date,Deadline
"A Survey on Tool-Augmented LLMs" (2024)
"Agents in the Foundation Model Era: A Survey" (2025)",,,,,,
Session 10,"February 12, 2026",Thursday,Memory and State in LLM Agents,,,,,,,,
Session 11,"February 17, 2026",Tuesday,Open Source LLM Models and Finetuning,"Llama, Qwen, etc.",,,,,,,
Session 12,"February 19, 2026",Thursday,AMGPT:A large language model for contextual querying in additive manufacturing,"AMGPT: A large language model for contextual querying in additive manufacturing,
Additive Manufacturing Letters,
Volume 11,
2024,
100232,",,,,,,,
Session 13,"February 24, 2026",Tuesday,Design Automation and CAD Integration,Query2CAD: Generating CAD models using natural language queries,Generative AI for CAD Automation: Leveraging Large Language Models for 3D Modelling (2025),,,,,,
Session 14,"February 26, 2026",Thursday,Manufacturing Process Control Agent,3D print -LLM: ,,,,,,,
Spring Break,"March 3, 2026",Spring Break,Spring Break,Spring Break,Spring Break,,,,,,
Spring Break,"March 5, 2026",Spring Break,Spring Break,Spring Break,Spring Break,,,,,,
Session 15,"March 10, 2026",Tuesday,Vector Databases and LLMs,"Vector Embedding, Embedding Search, Maximal Marginal Relevance (MMR), FAISS, ChromaDB, PineCone, API Calling",,,,,,,
Session 16,"March 12, 2026",Thursday,Coding and Simulation Assistants,,,,,,,,
Session 17,"March 17, 2026",Tuesday,Agentic Alloy Discovery,"MCP Servers with Python Package Index (PyPi), Thermocalc Integration",,,,,,,
Session 18,"March 19, 2026",Thursday,Scientific Reasoning with LLMs,,,,,,,,
Session 19,"March 24, 2026",Tuesday,"Agent Safety, Bias and Gaurdrailing",,,,,,,,
Session 20,"March 26, 2026",Thursday,"VLM Agents, Multilmodal Agents",,,,,,,,
Session 21,"March 31, 2026",Tuesday,AI Agents for Robotics,,,,,,,,
Session 22,"April 2, 2026",Thursday,AI Agents for Material/Molecule Discovery,,,,,,,,
Session 23,"April 7, 2026",Tuesday,AI Agents for Computational Fluid Dynamics and Finite Eleent Analysis,,,,,,,,
Carnival,"April 9, 2026",Thursday,,,,,,,,,
Session 24,"April 14, 2026",Tuesday,AI Agents for Massive Document Processing,,,,,,,,
Session 25,"April 16, 2026",Thursday,"AI Agent Workshop (Langchain, CrewAI, MCP, etc.)",,,,,,,,
Session 26,"April 21, 2026",Tuesday,Project Presentations #1,,,,,,,,
Session 27,"April 23, 2026",Thursday,Project Presentations #2,,,,,,,,
